iter	Passed	Remaining
418	2303	3194
419	2308	3187
420	2313	3181
421	2317	3174
422	2322	3168
423	2327	3162
424	2332	3155
425	2337	3149
426	2342	3143
427	2346	3136
428	2352	3130
429	2357	3125
430	2362	3119
431	2368	3113
432	2372	3107
433	2377	3100
434	2383	3095
435	2388	3089
436	2393	3083
437	2398	3077
438	2403	3071
439	2407	3064
440	2412	3058
441	2417	3052
442	2422	3046
443	2427	3039
444	2432	3033
445	2437	3028
446	2442	3021
447	2448	3016
448	2454	3011
449	2459	3006
450	2464	3000
451	2470	2995
452	2475	2988
453	2482	2985
454	2487	2979
455	2492	2974
456	2499	2970
457	2505	2964
458	2510	2959
459	2516	2954
460	2522	2948
461	2527	2943
462	2532	2937
463	2538	2932
464	2544	2927
465	2549	2921
466	2554	2915
467	2560	2910
468	2565	2905
469	2570	2899
470	2576	2893
471	2581	2887
472	2586	2882
473	2591	2875
474	2597	2870
475	2602	2865
476	2608	2860
477	2614	2854
478	2618	2848
479	2624	2842
480	2629	2836
481	2634	2830
482	2639	2825
483	2645	2820
484	2651	2815
485	2657	2811
486	2663	2805
487	2669	2800
488	2674	2795
489	2680	2789
490	2686	2784
491	2690	2778
492	2695	2772
493	2700	2766
494	2705	2760
495	2710	2754
496	2715	2748
497	2720	2742
498	2726	2737
499	2730	2730
500	2735	2724
501	2740	2718
502	2745	2712
503	2750	2706
504	2755	2700
505	2760	2694
506	2765	2688
507	2770	2682
508	2774	2676
509	2780	2671
510	2785	2665
511	2790	2659
512	2795	2654
513	2800	2648
514	2805	2641
515	2811	2637
516	2816	2631
517	2821	2625
518	2826	2619
519	2831	2613
520	2836	2607
521	2841	2602
522	2846	2596
523	2851	2590
524	2856	2584
525	2861	2578
526	2867	2573
527	2871	2567
528	2876	2561
529	2882	2555
530	2887	2549
531	2891	2544
532	2897	2538
533	2902	2532
534	2907	2526
535	2912	2521
536	2917	2515
537	2922	2509
538	2927	2503
539	2931	2497
540	2937	2491
541	2941	2485
542	2947	2480
543	2952	2474
544	2957	2468
545	2962	2463
546	2967	2457
547	2972	2451
548	2977	2446
549	2983	2441
550	2988	2435
551	2993	2429
552	2998	2423
553	3003	2417
554	3008	2412
555	3013	2406
556	3018	2400
557	3023	2395
558	3028	2389
559	3033	2383
560	3038	2378
561	3043	2372
562	3048	2366
563	3053	2360
564	3058	2354
565	3063	2349
566	3068	2343
567	3073	2337
568	3078	2331
569	3083	2325
570	3087	2320
571	3092	2314
572	3097	2308
573	3102	2302
574	3107	2296
575	3112	2291
576	3117	2285
577	3122	2279
578	3127	2274
579	3132	2268
580	3137	2262
581	3142	2257
582	3147	2251
583	3152	2245
584	3157	2240
585	3162	2234
586	3168	2229
587	3173	2223
588	3177	2217
589	3182	2211
590	3187	2205
591	3192	2200
592	3197	2194
593	3202	2188
594	3207	2183
595	3212	2177
596	3217	2171
597	3222	2166
598	3227	2160
599	3232	2154
600	3237	2149
601	3242	2143
602	3247	2138
603	3252	2132
604	3257	2127
605	3262	2121
606	3267	2115
607	3272	2109
608	3277	2104
609	3282	2098
610	3286	2092
611	3292	2087
612	3296	2081
613	3301	2075
614	3306	2070
615	3311	2064
616	3316	2058
617	3322	2053
618	3326	2047
619	3331	2042
620	3337	2037
621	3342	2031
622	3347	2025
623	3352	2020
624	3357	2014
625	3362	2008
626	3367	2003
627	3372	1997
628	3377	1991
629	3382	1986
630	3386	1980
631	3392	1975
632	3397	1969
633	3402	1964
634	3407	1958
635	3412	1953
636	3417	1947
637	3423	1942
638	3428	1936
639	3433	1931
640	3438	1925
641	3443	1920
642	3448	1914
643	3453	1909
644	3458	1903
645	3463	1898
646	3468	1892
647	3473	1886
648	3478	1881
649	3483	1875
650	3488	1870
651	3493	1864
652	3498	1859
653	3503	1853
654	3508	1848
655	3513	1842
656	3518	1836
657	3523	1831
658	3528	1825
659	3533	1820
660	3538	1814
661	3543	1809
662	3548	1803
663	3553	1798
664	3558	1792
665	3563	1787
666	3568	1781
667	3573	1776
668	3578	1770
669	3583	1765
670	3588	1759
671	3593	1754
672	3598	1748
673	3603	1743
674	3608	1737
675	3613	1731
676	3618	1726
677	3623	1721
678	3628	1715
679	3634	1710
680	3639	1704
681	3643	1699
682	3649	1693
683	3654	1688
684	3658	1682
685	3664	1677
686	3668	1671
687	3673	1666
688	3679	1660
689	3684	1655
690	3689	1649
691	3694	1644
692	3699	1638
693	3704	1633
694	3709	1627
695	3714	1622
696	3719	1616
697	3724	1611
698	3728	1605
699	3734	1600
700	3738	1594
701	3743	1589
702	3749	1584
703	3754	1578
704	3758	1572
705	3763	1567
706	3768	1561
707	3773	1556
708	3778	1550
709	3783	1545
710	3788	1539
711	3794	1535
712	3799	1529
713	3805	1524
714	3810	1518
715	3815	1513
716	3820	1507
717	3825	1502
718	3830	1496
719	3835	1491
720	3840	1486
721	3845	1480
722	3850	1475
723	3855	1469
724	3860	1464
725	3865	1458
726	3870	1453
727	3876	1448
728	3881	1442
729	3886	1437
730	3892	1432
731	3897	1426
732	3902	1421
733	3907	1415
734	3911	1410
735	3917	1405
736	3921	1399
737	3926	1394
738	3932	1388
739	3937	1383
740	3942	1377
741	3947	1372
742	3952	1367
743	3957	1361
744	3962	1356
745	3967	1350
746	3972	1345
747	3977	1339
748	3982	1334
749	3987	1329
750	3992	1323
751	3997	1318
752	4002	1312
753	4007	1307
754	4012	1301
755	4017	1296
756	4022	1291
757	4027	1285
758	4032	1280
759	4037	1274
760	4042	1269
761	4047	1264
762	4052	1258
763	4057	1253
764	4063	1248
765	4067	1242
766	4072	1237
767	4078	1231
768	4083	1226
769	4088	1221
770	4092	1215
771	4097	1210
772	4103	1204
773	4108	1199
774	4112	1194
775	4118	1188
776	4123	1183
777	4128	1177
778	4134	1172
779	4139	1167
780	4144	1162
781	4150	1156
782	4155	1151
783	4160	1146
784	4165	1140
785	4170	1135
786	4175	1129
787	4180	1124
788	4184	1119
789	4189	1113
790	4194	1108
791	4199	1102
792	4204	1097
793	4209	1092
794	4214	1086
795	4219	1081
796	4224	1076
797	4229	1070
798	4235	1065
799	4240	1060
800	4245	1054
801	4250	1049
802	4255	1043
803	4261	1038
804	4265	1033
805	4270	1027
806	4276	1022
807	4281	1017
808	4286	1012
809	4291	1006
810	4296	1001
811	4301	995
812	4306	990
813	4311	985
814	4317	979
815	4322	974
816	4327	969
817	4332	963
818	4337	958
819	4342	953
820	4347	947
821	4352	942
822	4357	937
823	4363	931
824	4367	926
825	4373	921
826	4378	915
827	4382	910
828	4388	905
829	4393	899
830	4398	894
831	4403	889
832	4408	883
833	4413	878
834	4419	873
835	4424	867
836	4429	862
837	4434	857
838	4439	851
839	4444	846
840	4449	841
841	4454	835
842	4459	830
843	4465	825
844	4470	819
845	4475	814
846	4480	809
847	4485	804
848	4490	798
849	4495	793
850	4501	788
851	4506	782
852	4511	777
853	4516	772
854	4521	766
855	4526	761
856	4531	756
857	4536	750
858	4541	745
859	4547	740
860	4552	734
861	4556	729
862	4561	724
863	4566	718
864	4572	713
865	4577	708
866	4582	702
867	4588	697
868	4593	692
869	4598	687
870	4603	681
871	4608	676
872	4613	671
873	4618	665
874	4623	660
875	4628	655
876	4633	649
877	4638	644
878	4643	639
879	4648	633
880	4653	628
881	4658	623
882	4663	617
883	4668	612
884	4674	607
885	4679	602
886	4684	596
887	4689	591
888	4694	586
889	4699	580
890	4704	575
891	4709	570
892	4714	564
893	4719	559
894	4724	554
895	4730	549
896	4734	543
897	4739	538
898	4744	533
899	4749	527
900	4754	522
901	4759	517
902	4764	511
903	4769	506
904	4775	501
905	4780	495
906	4785	490
907	4790	485
908	4795	480
909	4801	474
910	4806	469
911	4811	464
912	4816	458
913	4821	453
914	4826	448
915	4831	443
916	4836	437
917	4841	432
918	4846	427
919	4851	421
920	4857	416
921	4862	411
922	4867	406
923	4872	400
924	4877	395
925	4882	390
926	4887	384
927	4892	379
928	4897	374
929	4902	369
930	4907	363
931	4912	358
932	4917	353
933	4922	347
934	4927	342
935	4932	337
936	4937	331
937	4944	326
938	4949	321
939	4954	316
940	4959	310
941	4964	305
942	4969	300
943	4974	295
944	4979	289
945	4984	284
946	4989	279
947	4994	273
948	4999	268
949	5004	263
950	5009	258
951	5014	252
952	5019	247
953	5024	242
954	5030	237
955	5035	231
956	5040	226
957	5045	221
958	5050	215
959	5055	210
960	5060	205
961	5065	200
962	5071	194
963	5075	189
964	5080	184
965	5085	179
966	5090	173
967	5095	168
968	5100	163
969	5105	157
970	5110	152
971	5115	147
972	5121	142
973	5126	136
974	5131	131
975	5136	126
976	5142	121
977	5147	115
978	5152	110
979	5157	105
980	5162	99
981	5167	94
982	5172	89
983	5177	84
984	5183	78
985	5188	73
986	5193	68
987	5198	63
988	5203	57
989	5208	52
990	5214	47
991	5218	42
992	5223	36
993	5229	31
994	5233	26
995	5238	21
996	5243	15
997	5248	10
998	5253	5
999	5258	0
